,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__max_depth,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,2.7053662538528442,1.7485181093215942,0.506385087966919,0.02002263069152832,3,10,"{'clf__estimator__max_depth': 3, 'clf__estimator__n_estimators': 10}",0.83,0.87,0.85,0.020000000000000018,1,0.88,0.83,0.855,0.025000000000000022
1,2.773527979850769,0.13130366802215576,0.7677930593490601,0.021224617958068848,3,50,"{'clf__estimator__max_depth': 3, 'clf__estimator__n_estimators': 50}",0.83,0.87,0.85,0.020000000000000018,1,0.87,0.84,0.855,0.015000000000000013
2,1.1466330289840698,0.18624484539031982,0.516830563545227,0.007284760475158691,4,10,"{'clf__estimator__max_depth': 4, 'clf__estimator__n_estimators': 10}",0.83,0.87,0.85,0.020000000000000018,1,0.89,0.85,0.87,0.020000000000000018
3,2.8051602840423584,0.21180963516235352,0.7222621440887451,0.013324260711669922,4,50,"{'clf__estimator__max_depth': 4, 'clf__estimator__n_estimators': 50}",0.83,0.87,0.85,0.020000000000000018,1,0.88,0.85,0.865,0.015000000000000013
